(0) t,(1) lambda
1.0,4.5014618747027395
1.0038007601520305,4.502924699372045
1.007601520304061,4.504388474934088
1.0114022804560912,4.5058532023162465
1.0152030406081216,4.507318882447103
1.019003800760152,4.508785516256447
1.0228045609121825,4.510253104675281
1.0266053210642128,4.5117216486358185
1.0304060812162432,4.513191149071487
1.0342068413682737,4.5146616069169285
1.0380076015203041,4.516133023108005
1.0418083616723344,4.517605398581799
1.0456091218243648,4.519078734276613
1.0494098819763953,4.520553031131976
1.0532106421284257,4.522028290088639
1.0570114022804562,4.523504512088586
1.0608121624324864,4.524981698075027
1.064612922584517,4.526459848992405
1.0684136827365474,4.5279389657864
1.0722144428885778,4.5294190494039235
1.076015203040608,4.530900100793128
1.0798159631926385,4.532382120903406
1.083616723344669,4.533865110685389
1.0874174834966994,4.535349071090958
1.0912182436487297,4.536834003073236
1.0950190038007601,4.538319907586595
1.0988197639527906,4.539806785586658
1.102620524104821,4.541294638030301
1.1064212842568513,4.542783465875653
1.1102220444088817,4.544273270082099
1.1140228045609122,4.545764051610285
1.1178235647129426,4.547255811422114
1.1216243248649729,4.548748550480755
1.1254250850170033,4.5502422697506395
1.1292258451690338,4.551736970197466
1.1330266053210643,4.553232652788203
1.1368273654730947,4.55472931849109
1.140628125625125,4.556226968275638
1.1444288857771554,4.557725603112634
1.1482296459291859,4.559225223974142
1.1520304060812163,4.560725831833505
1.1558311662332466,4.5622274276653485
1.159631926385277,4.563730012445581
1.1634326865373075,4.565233587151396
1.167233446689338,4.566738152761276
1.1710342068413682,4.568243710254991
1.1748349669933986,4.569750260613605
1.178635727145429,4.571257804819478
1.1824364872974595,4.572766343856262
1.18623724744949,4.57427587870891
1.1900380076015202,4.575786410363675
1.1938387677535507,4.577297939808114
1.1976395279055811,4.578810468031085
1.2014402880576116,4.5803239960227575
1.2052410482096418,4.581838524774607
1.2090418083616723,4.583354055279423
1.2128425685137028,4.584870588531306
1.2166433286657332,4.586388125525673
1.2204440888177635,4.58790666725926
1.224244848969794,4.589426214730121
1.2280456091218244,4.590946768937635
1.2318463692738548,4.592468330882502
1.2356471294258853,4.593990901566752
1.2394478895779155,4.595514481993741
1.243248649729946,4.5970390731681565
1.2470494098819764,4.598564676096021
1.2508501700340067,4.600091291784691
1.2546509301860371,4.60161892124286
1.2584516903380676,4.603147565480564
1.262252450490098,4.604677225509178
1.2660532106421285,4.606207902341423
1.2698539707941587,4.607739596991367
1.2736547309461892,4.609272310474425
1.2774554910982197,4.610806043807364
1.2812562512502501,4.612340798008305
1.2850570114022806,4.613876574096723
1.2888577715543108,4.615413373093452
1.2926585317063413,4.616951196020686
1.2964592918583717,4.618490043901981
1.300260052010402,4.620029917762257
1.3040608121624324,4.621570818627802
1.3078615723144629,4.623112747526272
1.3116623324664933,4.6246557054866955
1.3154630926185238,4.626199693539474
1.319263852770554,4.627744712716384
1.3230646129225845,4.629290764050584
1.326865373074615,4.630837848576609
1.3306661332266452,4.632385967330378
1.3344668933786759,4.633935121349197
1.338267653530706,4.635485311671757
1.3420684136827365,4.637036539338141
1.345869173834767,4.638588805389824
1.3496699339867972,4.640142110869673
1.3534706941388277,4.641696456821955
1.3572714542908582,4.643251844292334
1.3610722144428886,4.644808274327877
1.364872974594919,4.646365747977054
1.3686737347469493,4.647924266289741
1.3724744948989798,4.649483830317224
1.3762752550510102,4.651044441112199
1.3800760152030405,4.652606099728774
1.383876775355071,4.654168807222476
1.3876775355071014,4.655732564650246
1.3914782956591318,4.657297373070449
1.3952790558111623,4.6588632335428715
1.3990798159631925,4.660430147128724
1.402880576115223,4.661998114890647
1.4066813362672534,4.663567137892708
1.410482096419284,4.665137217200411
1.4142828565713144,4.666708353880691
1.4180836167233446,4.668280549001922
1.421884376875375,4.669853803633918
1.4256851370274055,4.671428118847935
1.4294858971794357,4.673003495716672
1.4332866573314662,4.674579935314276
1.4370874174834967,4.676157438716345
1.4408881776355271,4.677736006999926
1.4446889377875576,4.679315641243523
1.4484896979395878,4.680896342527095
1.4522904580916183,4.682478111932061
1.4560912182436487,4.6840609505413004
1.4598919783956792,4.685644859439158
1.4636927385477096,4.687229839711446
1.4674934986997399,4.688815892445443
1.4712942588517703,4.690403018729903
1.4750950190038008,4.69199121965505
1.478895779155831,4.693580496312589
1.4826965393078615,4.6951708497957
1.486497299459892,4.696762281199046
1.4902980596119224,4.698354791618775
1.4940988197639529,4.699948382152521
1.497899579915983,4.701543053899408
1.5017003400680136,4.703138807960049
1.505501100220044,4.704735645436554
1.5093018603720743,4.706333567432529
1.513102620524105,4.707932575053079
1.5169033806761352,4.709532669404811
1.5207041408281656,4.711133851595836
1.524504900980196,4.712736122735771
1.5283056611322263,4.714339483935746
1.5321064212842568,4.7159439363084
1.5359071814362872,4.717549480967886
1.5397079415883175,4.7191561190298765
1.5435087017403482,4.720763851611563
1.5473094618923784,4.722372679831659
1.5511102220444088,4.723982604810404
1.5549109821964393,4.725593627669563
1.5587117423484695,4.727205749532434
1.5625125025005002,4.728818971523845
1.5663132626525305,4.730433294770162
1.570114022804561,4.732048720399287
1.5739147829565914,4.733665249540663
1.5777155431086216,4.735282883325277
1.581516303260652,4.736901622885662
1.5853170634126825,4.738521469355899
1.5891178235647128,4.740142423871619
1.5929185837167434,4.741764487570011
1.5967193438687737,4.743387661589816
1.6005201040208041,4.745011947071336
1.6043208641728346,4.746637345156435
1.6081216243248648,4.748263856988541
1.6119223844768955,4.74989148371265
1.6157231446289257,4.7515202264753285
1.6195239047809562,4.7531500864247125
1.6233246649329867,4.754781064710516
1.627125425085017,4.756413162484032
1.6309261852370474,4.75804638089813
1.6347269453890778,4.759680721107268
1.638527705541108,4.761316184267485
1.6423284656931387,4.762952771536413
1.646129225845169,4.764590484073273
1.6499299859971994,4.766229323038883
1.6537307461492299,4.767869289595654
1.6575315063012601,4.769510384907601
1.6613322664532906,4.77115261014034
1.665133026605321,4.77279596646109
1.6689337867573515,4.7744404550386825
1.672734546909382,4.776086077043556
1.6765353070614122,4.7777328336477645
1.6803360672134426,4.7793807260249785
1.684136827365473,4.781029755350486
1.6879375875175033,4.7826799228012
1.691738347669534,4.784331229555655
1.6955391078215643,4.785983676794016
1.6993398679735947,4.787637265698077
1.7031406281256252,4.789291997451264
1.7069413882776554,4.7909478732386415
1.7107421484296859,4.792604894246911
1.7145429085817163,4.794263061664417
1.7183436687337466,4.795922376681147
1.7221444288857772,4.797582840488737
1.7259451890378075,4.7992444542804735
1.729745949189838,4.800907219251296
1.7335467093418684,4.802571136597799
1.7373474694938986,4.804236207518238
1.7411482296459293,4.805902433212526
1.7449489897979595,4.807569814882245
1.74874974994999,4.809238353730644
1.7525505101020205,4.810908050962638
1.7563512702540507,4.812578907784821
1.7601520304060811,4.814250925405459
1.7639527905581116,4.8159241050345
1.7677535507101418,4.817598447883572
1.7715543108621725,4.819273955165989
1.7753550710142028,4.820950628096751
1.7791558311662332,4.822628467892552
1.7829565913182637,4.824307475771778
1.786757351470294,4.8259876529545105
1.7905581116223244,4.8276690006625325
1.7943588717743548,4.829351520119329
1.7981596319263853,4.83103521255009
1.8019603920784157,4.8327200791817155
1.805761152230446,4.834406121242815
1.8095619123824764,4.836093339963715
1.813362672534507,4.837781736576456
1.8171634326865371,4.839471312314803
1.8209641928385678,4.841162068414241
1.824764952990598,4.842854006111984
1.8285657131426285,4.844547126646974
1.832366473294659,4.8462414312598865
1.8361672334466892,4.847936921193132
1.8399679935987197,4.84963359769086
1.8437687537507501,4.851331461998962
1.8475695139027803,4.853030515365073
1.851370274054811,4.854730759038576
1.8551710342068413,4.856432194270606
1.8589717943588717,4.85813482231405
1.8627725545109022,4.859838644423555
1.8665733146629324,4.861543661855525
1.870374074814963,4.863249875868129
1.8741748349669933,4.8649572877213
1.8779755951190238,4.866665898676742
1.8817763552710542,4.868375709997933
1.8855771154230845,4.870086722950123
1.889377875575115,4.871798938800343
1.8931786357271454,4.873512358817406
1.8969793958791756,4.875226984271908
1.9007801560312063,4.876942816436235
1.9045809161832365,4.878659856584563
1.908381676335267,4.880378105992863
1.9121824364872975,4.882097565938903
1.9159831966393277,4.883818237702252
1.9197839567913584,4.885540122564284
1.9235847169433886,4.887263221808177
1.927385477095419,4.888987536718922
1.9311862372474495,4.890713068583323
1.9349869973994798,4.89243981869
1.9387877575515102,4.894167788329392
1.9425885177035407,4.895896978793763
1.946389277855571,4.897627391377202
1.9501900380076016,4.899359027375628
1.9539907981596318,4.901091888086791
1.9577915583116623,4.9028259748102805
1.9615923184636928,4.904561288847522
1.965393078615723,4.906297831501785
1.9691938387677534,4.908035604078184
1.972994598919784,4.909774607883683
1.9767953590718144,4.9115148442270975
1.9805961192238448,4.9132563144191
1.984396879375875,4.914999019772221
1.9881976395279055,4.9167429616008524
1.991998399679936,4.918488141221252
1.9957991598319662,4.920234559951548
1.9995999199839969,4.921982219111738
2.003400680136027,4.923731120023698
2.007201440288058,4.925481264011179
2.011002200440088,4.927232652399816
2.0148029605921183,4.928985286517131
2.0186037207441485,4.930739167692532
2.022404480896179,4.93249429725732
2.02620524104821,4.934250676544693
2.03000600120024,4.936008306889746
2.0338067613522703,4.937767189629477
2.0376075215043006,4.939527326102789
2.0414082816563313,4.941288717650496
2.045209041808362,4.943051365615321
2.049009801960392,4.9448152713419065
2.0528105621124224,4.946580436176812
2.0566113222644526,4.94834686146852
2.0604120824164833,4.9501145485674405
2.0642128425685136,4.951883498825911
2.0680136027205442,4.953653713598203
2.0718143628725745,4.955425194240524
2.0756151230246047,4.957197942111023
2.079415883176635,4.95897195856979
2.0832166433286656,4.960747244978863
2.0870174034806963,4.962523802702233
2.0908181636327265,4.964301633105839
2.094618923784757,4.966080737557582
2.098419683936787,4.967861117427323
2.1022204440888177,4.9696427740868865
2.1060212042408484,4.971425708910065
2.1098219643928786,4.973209923272623
2.113622724544909,4.974995418552298
2.117423484696939,4.97678219612881
2.1212242448489698,4.978570257383858
2.1250250050010004,4.980359603701126
2.1288257651530307,4.982150236466291
2.132626525305061,4.983942157067018
2.136427285457091,4.985735366892971
2.140228045609122,4.987529867335814
2.144028805761152,4.9893256597892135
2.1478295659131827,4.991122745648844
2.151630326065213,4.99292112631239
2.155431086217243,4.9947208031795505
2.159231846369274,4.996521777652044
2.163032606521304,4.998324051133608
2.166833366673335,5.000127625030007
2.170634126825365,5.001932500749036
2.1744348869773953,5.003738679700518
2.1782356471294255,5.005546163296318
2.182036407281456,5.007354952950335
2.185837167433487,5.009165050078516
2.189637927585517,5.010976456098853
2.1934386877375474,5.0127891724313915
2.1972394478895776,5.014603200498229
2.2010402080416083,5.016418541723523
2.204840968193639,5.0182351975334925
2.208641728345669,5.020053169356423
2.2124424884976994,5.02187245862267
2.2162432486497297,5.02369306676466
2.2200440088017603,5.0255149952169
2.223844768953791,5.027338245415977
2.2276455291058213,5.02916281880056
2.2314462892578515,5.03098871681141
2.2352470494098817,5.032815940891378
2.2390478095619124,5.0346444924854135
2.2428485697139426,5.036474373040563
2.2466493298659733,5.038305584005978
2.2504500900180036,5.040138126832917
2.254250850170034,5.041972002974752
2.258051610322064,5.043807213886968
2.2618523704740947,5.0456437610271685
2.2656531306261254,5.047481645855082
2.2694538907781556,5.049320869832562
2.273254650930186,5.051161434423595
